npz_path,gloss,label_id,n_frames,hand_null_ratio,avg_hand_conf
isl_landmarks/00951__d9e53bef.npz,ADAPT,18,93,0.4086,0.5914
isl_landmarks/00961__6cd3de3f.npz,ADD,19,114,0.3860,0.6140
isl_landmarks/00962__793faf1c.npz,ADD,19,43,0.2326,0.7674
isl_landmarks/00963__d36573ce.npz,ADD,19,37,0.3514,0.6486
isl_landmarks/00964__c11e6ef9.npz,ADD,19,47,0.1489,0.8511
isl_landmarks/00965__bea65c73.npz,ADD,19,124,0.4355,0.5645
isl_landmarks/00967__32016f82.npz,ADD,19,27,0.0000,1.0000
isl_landmarks/00973__16ca5c3d.npz,ADD,19,101,0.3663,0.6337
isl_landmarks/01011__cf93bc40.npz,ADDRESS,20,88,0.5568,0.4432
isl_landmarks/01012__68d633d4.npz,ADDRESS,20,35,0.2000,0.8000
isl_landmarks/01018__3c66b2b4.npz,ADDRESS,20,42,0.0000,1.0000
isl_landmarks/01024__78334232.npz,ADDRESS,20,91,0.5055,0.4945
isl_landmarks/01064__629c6000.npz,ADJECTIVE,21,82,0.4268,0.5732
isl_landmarks/01065__319afa5d.npz,ADJECTIVE,21,34,0.3529,0.6471
isl_landmarks/01066__1c3ea40c.npz,ADJECTIVE,21,181,0.2762,0.7238
isl_landmarks/01068__249846ae.npz,ADJECTIVE,21,49,0.0000,1.0000
isl_landmarks/01073__85740c44.npz,ADJUST,22,94,0.3404,0.6596
isl_landmarks/01074__d746e22c.npz,ADJUST,22,99,0.3434,0.6566
isl_landmarks/01076__943ca835.npz,ADJUST,22,51,0.1176,0.8824
isl_landmarks/01079__29d1a190.npz,ADJUST,22,103,0.4854,0.5146
isl_landmarks/01100__2d7113c7.npz,ADMIRE,23,95,0.3789,0.6211
isl_landmarks/01101__79151ae7.npz,ADMIRE,23,140,0.4357,0.5643
isl_landmarks/01103__b4c13a53.npz,ADMIRE,23,47,0.0000,1.0000
isl_landmarks/01107__d010476d.npz,ADMIRE,23,101,0.4356,0.5644
isl_landmarks/01118__74bd5452.npz,ADMIT,24,34,0.2647,0.7353
isl_landmarks/01120__dae61a16.npz,ADMIT,24,139,0.4317,0.5683
isl_landmarks/01122__9ca96c16.npz,ADMIT,24,38,0.0000,1.0000
isl_landmarks/01127__dcfd79e0.npz,ADMIT,24,90,0.4556,0.5444
isl_landmarks/01157__d3097c24.npz,ADOPT,25,107,0.5794,0.4206
isl_landmarks/01158__65b12a09.npz,ADOPT,25,39,0.0000,1.0000
isl_landmarks/01159__b3a43746.npz,ADOPT,25,29,0.0000,1.0000
isl_landmarks/01160__2f38347c.npz,ADOPT,25,36,0.0000,1.0000
isl_landmarks/01162__7c40fd49.npz,ADOPT,25,91,0.4066,0.5934
isl_landmarks/01206__cd85209e.npz,ADULT,26,87,0.4828,0.5172
isl_landmarks/01209__2353e58d.npz,ADULT,26,39,0.3333,0.6667
isl_landmarks/01214__c498a6ee.npz,ADULT,26,41,0.0000,1.0000
isl_landmarks/01217__a445669b.npz,ADULT,26,101,0.3762,0.6238
isl_landmarks/01226__bf6c073e.npz,ADVANCED,27,107,0.3738,0.6262
isl_landmarks/01227__72e22cca.npz,ADVANCED,27,57,0.1754,0.8246
isl_landmarks/01229__d2360897.npz,ADVANCED,27,68,0.0000,1.0000
isl_landmarks/01231__eee90518.npz,ADVANCED,27,96,0.3542,0.6458
isl_landmarks/01244__960f76b5.npz,ADVANTAGE,28,106,0.3302,0.6698
isl_landmarks/01245__4d53bf0d.npz,ADVANTAGE,28,32,0.1875,0.8125
isl_landmarks/01252__1414ab81.npz,ADVANTAGE,28,93,0.4731,0.5269
isl_landmarks/01264__53b4175b.npz,ADVERB,29,71,0.2113,0.7887
isl_landmarks/01265__3ff01e8b.npz,ADVERB,29,97,0.3299,0.6701
isl_landmarks/01266__c814a158.npz,ADVERB,29,152,0.2961,0.7039
isl_landmarks/01268__2d1f2b5a.npz,ADVERB,29,42,0.0000,1.0000
isl_landmarks/01318__5b8a1bf0.npz,AFFECT,30,121,0.4463,0.5537
isl_landmarks/01319__7b41b7c4.npz,AFFECT,30,89,0.4270,0.5730
isl_landmarks/01320__3f2ee178.npz,AFFECT,30,133,0.3459,0.6541
isl_landmarks/01321__f5024543.npz,AFFECT,30,69,0.3913,0.6087
isl_landmarks/01323__d632231f.npz,AFFECT,30,34,0.0000,1.0000
isl_landmarks/01327__3c39852f.npz,AFFECT,30,99,0.3737,0.6263
isl_landmarks/01373__244012ae.npz,AFRAID,31,69,0.5652,0.4348
isl_landmarks/01374__d34af18b.npz,AFRAID,31,93,0.5161,0.4839
isl_landmarks/01376__62cd766c.npz,AFRAID,31,35,0.0000,1.0000
isl_landmarks/01377__33fdb252.npz,AFRAID,31,22,0.0000,1.0000
isl_landmarks/01381__0f3dbe9f.npz,AFRAID,31,100,0.5700,0.4300
isl_landmarks/01384__346111a7.npz,AFRICA,32,65,0.3538,0.6462
isl_landmarks/01385__d608b7a6.npz,AFRICA,32,48,0.2708,0.7292
isl_landmarks/01386__31dfbc25.npz,AFRICA,32,41,0.2683,0.7317
isl_landmarks/01387__ca296a74.npz,AFRICA,32,40,0.3500,0.6500
isl_landmarks/01388__1f45ff20.npz,AFRICA,32,123,0.3659,0.6341
isl_landmarks/01391__41e29353.npz,AFRICA,32,47,0.0000,1.0000
isl_landmarks/01398__bb51e6d1.npz,AFRICA,32,78,0.3462,0.6538
isl_landmarks/01418__cddbafe6.npz,AFTER,33,106,0.4623,0.5377
isl_landmarks/01419__ea6155d3.npz,AFTER,33,76,0.3947,0.6053
isl_landmarks/01420__76ac575a.npz,AFTER,33,44,0.1818,0.8182
isl_landmarks/01421__af64a237.npz,AFTER,33,26,0.3462,0.6538
isl_landmarks/01422__1eadbfb6.npz,AFTER,33,114,0.3246,0.6754
isl_landmarks/01428__2bc4f324.npz,AFTER,33,77,0.4545,0.5455
isl_landmarks/01433__b5e43853.npz,AFTERNOON,34,70,0.4429,0.5571
isl_landmarks/01434__4089ae18.npz,AFTERNOON,34,88,0.4091,0.5909
isl_landmarks/01435__b4bdcec1.npz,AFTERNOON,34,62,0.1935,0.8065
isl_landmarks/01436__8e8375d5.npz,AFTERNOON,34,130,0.5154,0.4846
isl_landmarks/01438__fb44c49f.npz,AFTERNOON,34,37,0.0000,1.0000
isl_landmarks/01442__20fa8589.npz,AFTERNOON,34,78,0.4744,0.5256
isl_landmarks/01460__c32de495.npz,AGAIN,35,71,0.5493,0.4507
isl_landmarks/01461__682fcdd9.npz,AGAIN,35,82,0.5244,0.4756
isl_landmarks/01462__784de348.npz,AGAIN,35,42,0.2381,0.7619
isl_landmarks/01463__424a4300.npz,AGAIN,35,106,0.4057,0.5943
isl_landmarks/01464__ec3548fd.npz,AGAIN,35,75,0.2667,0.7333
isl_landmarks/01466__c70a94f6.npz,AGAIN,35,49,0.0000,1.0000
isl_landmarks/01471__05527b88.npz,AGAIN,35,75,0.5067,0.4933
isl_landmarks/01473__2ce0d6dd.npz,AGAINST,36,94,0.4468,0.5532
isl_landmarks/01474__17717470.npz,AGAINST,36,101,0.3465,0.6535
isl_landmarks/01477__66765971.npz,AGAINST,36,44,0.0000,1.0000
isl_landmarks/01479__4361afc0.npz,AGAINST,36,93,0.5161,0.4839
isl_landmarks/01485__0c4b9b94.npz,AGE,37,72,0.4861,0.5139
isl_landmarks/01486__d84669b5.npz,AGE,37,37,0.2432,0.7568
isl_landmarks/01487__8759ae7f.npz,AGE,37,88,0.5682,0.4318
isl_landmarks/01489__2c609cd1.npz,AGE,37,50,0.0000,1.0000
isl_landmarks/01490__ef13c218.npz,AGE,37,32,0.0625,0.9375
isl_landmarks/01495__79840073.npz,AGE,37,75,0.5733,0.4267
isl_landmarks/01505__009843ca.npz,AGENDA,38,81,0.5185,0.4815
isl_landmarks/01506__9c0f047e.npz,AGENDA,38,42,0.1429,0.8571
isl_landmarks/01507__9b15a9ce.npz,AGENDA,38,43,0.1628,0.8372
isl_landmarks/01515__d356ac6f.npz,AGENDA,38,79,0.5063,0.4937
isl_landmarks/01553__553fb6b8.npz,AGO,39,45,0.2222,0.7778
isl_landmarks/01554__457ef7f2.npz,AGO,39,98,0.3571,0.6429
isl_landmarks/01556__8a3af09a.npz,AGO,39,31,0.0000,1.0000
isl_landmarks/01557__75d8d986.npz,AGO,39,28,0.0000,1.0000
isl_landmarks/01558__0eed8580.npz,AGO,39,34,0.5000,0.5000
isl_landmarks/01560__135e126f.npz,AGO,39,47,0.0000,1.0000
isl_landmarks/01561__2fc1ef31.npz,AGO,39,38,0.0000,1.0000
isl_landmarks/01575__0abd1225.npz,AGREE,40,95,0.4000,0.6000
isl_landmarks/01576__11f493d1.npz,AGREE,40,36,0.2222,0.7778
isl_landmarks/01577__deb5af18.npz,AGREE,40,124,0.4032,0.5968
isl_landmarks/01579__f021f6cb.npz,AGREE,40,43,0.1628,0.8372
isl_landmarks/01582__8b1d2102.npz,AGREE,40,69,0.4783,0.5217
isl_landmarks/01583__10778275.npz,AGREEMENT,41,95,0.4000,0.6000
isl_landmarks/01584__61085179.npz,AGREEMENT,41,36,0.2222,0.7778
isl_landmarks/01585__bb4165ec.npz,AGREEMENT,41,82,0.2439,0.7561
isl_landmarks/01586__9ae54726.npz,AGREEMENT,41,43,0.1628,0.8372
isl_landmarks/01587__08ef3568.npz,AGREEMENT,41,69,0.4783,0.5217
isl_landmarks/01598__ff2e92d6.npz,AHEAD,42,49,0.1633,0.8367
isl_landmarks/01599__2c3439f6.npz,AHEAD,42,119,0.2857,0.7143
isl_landmarks/01602__38d562ea.npz,AHEAD,42,49,0.0000,1.0000
isl_landmarks/01605__c8af737c.npz,AHEAD,42,74,0.5000,0.5000
isl_landmarks/01612__08a2d9ca.npz,A,1,30,0.0000,1.0000
isl_landmarks/01615__1eb2bc0b.npz,A,1,84,0.5357,0.4643
isl_landmarks/01621__950b5fee.npz,AID,43,75,0.5333,0.4667
isl_landmarks/01622__2baffb0a.npz,AID,43,50,0.4600,0.5400
isl_landmarks/01624__3c9794aa.npz,AID,43,113,0.3805,0.6195
isl_landmarks/01626__77233433.npz,AID,43,49,0.0000,1.0000
isl_landmarks/01627__19b590d1.npz,AID,43,30,0.0000,1.0000
isl_landmarks/01642__b5c321a7.npz,AIM,44,106,0.2736,0.7264
isl_landmarks/01643__edcc5525.npz,AIM,44,136,0.3382,0.6618
isl_landmarks/01646__7a64cab0.npz,AIM,44,47,0.0000,1.0000
isl_landmarks/01652__c3d661b1.npz,AIM,44,91,0.4945,0.5055
isl_landmarks/01653__20692b43.npz,AIM,44,76,0.5000,0.5000
isl_landmarks/01724__a958b3cc.npz,AIRPLANE,45,101,0.4653,0.5347
isl_landmarks/01726__40c8998a.npz,AIRPLANE,45,48,0.1458,0.8542
isl_landmarks/01727__1e5a9b87.npz,AIRPLANE,45,117,0.4615,0.5385
isl_landmarks/01729__e51a6d25.npz,AIRPLANE,45,38,0.0000,1.0000
isl_landmarks/01730__8a751825.npz,AIRPLANE,45,97,0.0000,1.0000
isl_landmarks/01734__e1cdcd19.npz,AIRPLANE,45,96,0.5417,0.4583
isl_landmarks/01801__3aac8c98.npz,ALARM,46,98,0.4694,0.5306
isl_landmarks/01802__e7cc1c1a.npz,ALARM,46,78,0.4359,0.5641
isl_landmarks/01804__92394b6a.npz,ALARM,46,47,0.0000,1.0000
isl_landmarks/01808__cbedc58a.npz,ALARM,46,91,0.4505,0.5495
isl_landmarks/01831__4678deb6.npz,ALCOHOL,47,104,0.4231,0.5769
isl_landmarks/01832__3cd5e1ef.npz,ALCOHOL,47,99,0.4848,0.5152
isl_landmarks/01836__a703fb45.npz,ALCOHOL,47,29,0.0000,1.0000
isl_landmarks/01839__21448d37.npz,ALCOHOL,47,87,0.5402,0.4598
isl_landmarks/01874__1cf2d918.npz,ALGEBRA,48,74,0.2703,0.7297
isl_landmarks/01875__e05f7aee.npz,ALGEBRA,48,49,0.1633,0.8367
isl_landmarks/01876__538512a4.npz,ALGEBRA,48,155,0.4194,0.5806
isl_landmarks/01878__5243cd97.npz,ALGEBRA,48,36,0.0000,1.0000
isl_landmarks/01880__6d156e86.npz,ALGEBRA,48,83,0.4940,0.5060
isl_landmarks/01922__5f1e2f2d.npz,ALL DAY,50,48,0.3750,0.6250
isl_landmarks/01923__0cce776d.npz,ALL DAY,50,53,0.1509,0.8491
isl_landmarks/01924__33d7981e.npz,ALL DAY,50,73,0.1644,0.8356
isl_landmarks/01926__81c450d1.npz,ALL DAY,50,44,0.0000,1.0000
isl_landmarks/01927__d4c30088.npz,ALL DAY,50,87,0.3563,0.6437
isl_landmarks/01955__04c08c46.npz,ALLERGY,51,119,0.3445,0.6555
isl_landmarks/01956__c1fe5da7.npz,ALLERGY,51,40,0.2000,0.8000
isl_landmarks/01957__090df261.npz,ALLERGY,51,108,0.4167,0.5833
isl_landmarks/01960__b803751a.npz,ALLERGY,51,60,0.0000,1.0000
isl_landmarks/01962__68d31d3c.npz,ALLERGY,51,54,0.0000,1.0000
isl_landmarks/01965__d7ed2760.npz,ALLERGY,51,106,0.3585,0.6415
isl_landmarks/01986__d3926b36.npz,ALL,49,83,0.3735,0.6265
isl_landmarks/01987__24c19027.npz,ALL,49,75,0.3067,0.6933
isl_landmarks/01988__60687fb7.npz,ALL,49,144,0.2847,0.7153
isl_landmarks/01991__c90baaf2.npz,ALL,49,49,0.0000,1.0000
isl_landmarks/01992__b8341b61.npz,ALL,49,59,0.0000,1.0000
isl_landmarks/02003__a8e5bcd0.npz,ALL,49,76,0.3947,0.6053
isl_landmarks/02008__e736eb56.npz,ALLIGATOR,52,83,0.4096,0.5904
isl_landmarks/02009__fb7a0f6c.npz,ALLIGATOR,52,37,0.3514,0.6486
isl_landmarks/02010__cbad4714.npz,ALLIGATOR,52,126,0.5873,0.4127
isl_landmarks/02012__095c7b38.npz,ALLIGATOR,52,54,0.0000,1.0000
isl_landmarks/02014__eeaf8442.npz,ALLIGATOR,52,109,0.3853,0.6147
isl_landmarks/02045__312c5027.npz,ALLOW,53,67,0.5224,0.4776
isl_landmarks/02046__9cfadb0d.npz,ALLOW,53,91,0.3516,0.6484
isl_landmarks/02048__9bc14b08.npz,ALLOW,53,53,0.0000,1.0000
isl_landmarks/02049__8b43186b.npz,ALLOW,53,43,0.0000,1.0000
isl_landmarks/02052__eee988e6.npz,ALLOW,53,94,0.4787,0.5213
isl_landmarks/02092__1228811f.npz,ALMOST,54,27,0.1852,0.8148
isl_landmarks/02093__3b849640.npz,ALMOST,54,109,0.4312,0.5688
isl_landmarks/02095__35835fbe.npz,ALMOST,54,71,0.0000,1.0000
isl_landmarks/02103__8df6750b.npz,ALONE,55,76,0.3947,0.6053
isl_landmarks/02104__221b821c.npz,ALONE,55,56,0.3036,0.6964
isl_landmarks/02105__b9da514f.npz,ALONE,55,51,0.3922,0.6078
isl_landmarks/02106__cef1cd68.npz,ALONE,55,118,0.3559,0.6441
isl_landmarks/02108__40edfaf1.npz,ALONE,55,50,0.0000,1.0000
isl_landmarks/02109__b79e8d1e.npz,ALONE,55,47,0.0000,1.0000
isl_landmarks/02110__4a2c169f.npz,ALONE,55,46,0.0000,1.0000
isl_landmarks/02112__1a691aee.npz,ALONE,55,108,0.5370,0.4630
isl_landmarks/02124__6da5cbee.npz,A LOT,2,74,0.5000,0.5000
isl_landmarks/02125__bf8693e2.npz,A LOT,2,38,0.3158,0.6842
isl_landmarks/02126__2a91ae31.npz,A LOT,2,96,0.4792,0.5208
isl_landmarks/02128__9dc2a81c.npz,A LOT,2,53,0.0000,1.0000
isl_landmarks/02129__65098e0a.npz,A LOT,2,29,0.0000,1.0000
isl_landmarks/02130__3fe77ae9.npz,A LOT,2,41,0.0000,1.0000
isl_landmarks/02131__41c6341c.npz,A LOT,2,86,0.4535,0.5465
isl_landmarks/02149__2eeda167.npz,ALPHABET,56,35,0.0000,1.0000
isl_landmarks/02151__9acbaaef.npz,ALPHABET,56,128,0.3984,0.6016
isl_landmarks/02159__cbd3d12e.npz,ALREADY,57,72,0.4583,0.5417
isl_landmarks/02160__dae3eaf1.npz,ALREADY,57,108,0.5926,0.4074
isl_landmarks/02161__c5bd1585.npz,ALREADY,57,36,0.1944,0.8056
isl_landmarks/02162__88b595a9.npz,ALREADY,57,35,0.2286,0.7714
isl_landmarks/02163__cb1c7044.npz,ALREADY,57,99,0.4040,0.5960
isl_landmarks/02165__dcd54c2f.npz,ALREADY,57,63,0.0000,1.0000
isl_landmarks/02166__7b74ba47.npz,ALREADY,57,29,0.0000,1.0000
isl_landmarks/02168__acae8892.npz,ALREADY,57,107,0.5701,0.4299
isl_landmarks/02174__d6f40d31.npz,ALSO,58,67,0.3134,0.6866
isl_landmarks/02175__ac6db776.npz,ALSO,58,114,0.5263,0.4737
isl_landmarks/02177__7e02ebd6.npz,ALSO,58,36,0.0000,1.0000
isl_landmarks/02178__df64d9f6.npz,ALSO,58,51,0.0980,0.9020
isl_landmarks/02181__73c1bba6.npz,ALSO,58,94,0.5957,0.4043
isl_landmarks/02228__27e66c50.npz,ALWAYS,59,71,0.4225,0.5775
isl_landmarks/02229__ce803745.npz,ALWAYS,59,79,0.4177,0.5823
isl_landmarks/02230__62fe7bd5.npz,ALWAYS,59,57,0.1930,0.8070
isl_landmarks/02231__1963d4b9.npz,ALWAYS,59,113,0.3363,0.6637
isl_landmarks/02233__dc97b8e6.npz,ALWAYS,59,66,0.0000,1.0000
isl_landmarks/02238__ed35cd1f.npz,ALWAYS,59,80,0.4250,0.5750
isl_landmarks/02269__def3cd6e.npz,AMAZING,60,32,0.0938,0.9062
isl_landmarks/02273__5ed847f7.npz,AMAZING,60,99,0.5354,0.4646
isl_landmarks/02276__c2a6f733.npz,AMAZING,60,61,0.0000,1.0000
isl_landmarks/02285__cfcb2a86.npz,AMAZING,60,88,0.4432,0.5568
isl_landmarks/02349__bb9e8d19.npz,AMERICA,61,167,0.5509,0.4491
isl_landmarks/02350__c9389218.npz,AMERICA,61,38,0.2105,0.7895
isl_landmarks/02351__8a77014e.npz,AMERICA,61,154,0.3247,0.6753
isl_landmarks/02353__9b99bd3b.npz,AMERICA,61,65,0.0000,1.0000
isl_landmarks/02356__3754abbd.npz,AMERICA,61,97,0.4021,0.5979
isl_landmarks/02429__38eb7d91.npz,AMPUTATE,62,141,0.4681,0.5319
isl_landmarks/02430__6ad6f223.npz,AMPUTATE,62,31,0.2581,0.7419
isl_landmarks/02431__7894ef9d.npz,AMPUTATE,62,81,0.5062,0.4938
isl_landmarks/02434__f8213011.npz,AMPUTATE,62,56,0.0000,1.0000
isl_landmarks/02435__3b39bd83.npz,AMPUTATE,62,89,0.5955,0.4045
isl_landmarks/02474__47255f4c.npz,ANALYZE,63,92,0.2174,0.7826
isl_landmarks/02475__0dbb0fab.npz,ANALYZE,63,77,0.3506,0.6494
isl_landmarks/02476__0cc78281.npz,ANALYZE,63,86,0.5698,0.4302
isl_landmarks/02477__b17ec36c.npz,ANALYZE,63,55,0.3273,0.6727
isl_landmarks/02478__ba71b197.npz,ANALYZE,63,115,0.3652,0.6348
isl_landmarks/02480__a84a990e.npz,ANALYZE,63,53,0.0000,1.0000
isl_landmarks/02483__534bfba9.npz,ANALYZE,63,86,0.5930,0.4070
isl_landmarks/02485__0ede8822.npz,ANATOMY,64,99,0.4242,0.5758
isl_landmarks/02487__fb5e1751.npz,ANATOMY,64,91,0.4396,0.5604
isl_landmarks/02490__41c8890f.npz,ANATOMY,64,107,0.0000,1.0000
isl_landmarks/02492__5dbe2343.npz,ANATOMY,64,95,0.3263,0.6737
isl_landmarks/02518__22ba0bb9.npz,AND,65,69,0.3333,0.6667
isl_landmarks/02519__685a428d.npz,AND,65,87,0.3218,0.6782
isl_landmarks/02521__5cf5ab77.npz,AND,65,57,0.0000,1.0000
isl_landmarks/02525__7bda7478.npz,AND,65,73,0.5205,0.4795
isl_landmarks/02540__f8d454f3.npz,ANGEL,66,71,0.3662,0.6338
isl_landmarks/02541__81a96db1.npz,ANGEL,66,47,0.1277,0.8723
isl_landmarks/02542__4dd2b000.npz,ANGEL,66,63,0.3968,0.6032
isl_landmarks/02544__6c721edd.npz,ANGEL,66,35,0.0000,1.0000
isl_landmarks/02545__03cc2e48.npz,ANGEL,66,51,0.0000,1.0000
isl_landmarks/02548__a7dc073a.npz,ANGEL,66,85,0.5412,0.4588
isl_landmarks/02558__0ca4901f.npz,ANGLE,67,119,0.3529,0.6471
isl_landmarks/02559__99689625.npz,ANGLE,67,57,0.2105,0.7895
isl_landmarks/02560__5add60fc.npz,ANGLE,67,55,0.1455,0.8545
isl_landmarks/02561__a9ae9792.npz,ANGLE,67,44,0.0000,1.0000
isl_landmarks/02563__09554cd3.npz,ANGLE,67,92,0.0870,0.9130
isl_landmarks/02565__ef66bfc7.npz,ANGRY,68,68,0.5000,0.5000
